run_id,client_id,node,key,latency_ms,ok,status
20260202_192101,48,http://localhost:8002,key30859,38,true,404
20260202_192101,49,http://localhost:8001,key85697,38,true,404
20260202_192101,50,http://localhost:8002,key74816,36,true,404
20260202_192101,51,http://localhost:8003,key30060,39,true,404
20260202_192101,52,http://localhost:8001,key19507,39,true,404
20260202_192101,53,http://localhost:8003,key41210,5,true,404
20260202_192101,54,http://localhost:8002,key31273,38,true,404
20260202_192101,55,http://localhost:8001,key27203,39,true,404
20260202_192101,56,http://localhost:8003,key17645,39,true,404
20260202_192101,57,http://localhost:8003,key28803,40,true,404
20260202_192101,58,http://localhost:8001,key59651,38,true,404
20260202_192101,59,http://localhost:8001,key23237,38,true,404
20260202_192101,60,http://localhost:8002,key94394,16,true,404
20260202_192101,61,http://localhost:8002,key64105,35,true,404
20260202_192101,62,http://localhost:8003,key50104,39,true,404
20260202_192101,63,http://localhost:8002,key86574,39,true,404
20260202_192101,64,http://localhost:8003,key53570,39,true,404
20260202_192101,65,http://localhost:8003,key98919,37,true,404
20260202_192101,66,http://localhost:8003,key47088,35,true,404
20260202_192101,67,http://localhost:8003,key38648,36,true,404
20260202_192101,68,http://localhost:8002,key74810,40,true,404
20260202_192101,69,http://localhost:8001,key1163,38,true,404
20260202_192101,70,http://localhost:8001,key60455,35,true,404
20260202_192101,71,http://localhost:8002,key21742,38,true,404
20260202_192101,72,http://localhost:8002,key22863,39,true,404
20260202_192101,73,http://localhost:8003,key77413,38,true,404
20260202_192101,74,http://localhost:8002,key48223,39,true,404
20260202_192101,75,http://localhost:8002,key91602,38,true,404
20260202_192101,76,http://localhost:8001,key89052,37,true,404
20260202_192101,77,http://localhost:8002,key97838,40,true,404
20260202_192101,78,http://localhost:8001,key26567,38,true,404
20260202_192101,79,http://localhost:8001,key88019,37,true,404
20260202_192101,80,http://localhost:8002,key51178,38,true,404
20260202_192101,81,http://localhost:8003,key29842,16,true,404
20260202_192101,82,http://localhost:8001,key11062,39,true,404
20260202_192101,83,http://localhost:8001,key70763,39,true,404
20260202_192101,84,http://localhost:8002,key31404,18,true,404
20260202_192101,85,http://localhost:8002,key3412,39,true,404
20260202_192101,86,http://localhost:8003,key118,33,true,404
20260202_192101,87,http://localhost:8002,key91060,40,true,404
20260202_192101,88,http://localhost:8002,key31622,38,true,404
20260202_192101,89,http://localhost:8002,key170,39,true,404
20260202_192101,90,http://localhost:8002,key76728,38,true,404
20260202_192101,91,http://localhost:8001,key5854,39,true,404
20260202_192101,92,http://localhost:8002,key31886,38,true,404
20260202_192101,93,http://localhost:8002,key61422,21,true,404
20260202_192101,94,http://localhost:8001,key59925,37,true,404
20260202_192101,95,http://localhost:8003,key75583,38,true,404
20260202_192101,96,http://localhost:8003,key58241,38,true,404
20260202_192101,97,http://localhost:8002,key61475,36,true,404
20260202_192101,98,http://localhost:8002,key54024,33,true,404
20260202_192101,99,http://localhost:8003,key63130,11,true,404
